CPF;Valor em aberto;Status;Data limite pagamento;NF;E-mail
215.798.346-55XS;221,07;Em aberto;16/06/2025;13790Z;testeapp159123+1@gmail.com
321.076.948-69XS;4187,33;Pago;26/07/2025;70484Z;testeapp159123+2@gmail.com
754.902.816-85XS;3480,08;Pago;27/06/2025;76054Z;testeapp159123+3@gmail.com
413.862.075-35XS;2658,78;Pago;08/08/2025;50466Z;testeapp159123+4@gmail.com
320.671.598-95XS;4265,99;Em aberto;16/04/2025;50514Z;testeapp159123+5@gmail.com
453.867.209-29XS;3491,8;Pago;27/06/2025;83579Z;testeapp159123+6@gmail.com
327.085.419-60XS;1160,43;Pago;08/07/2025;12438Z;testeapp159123+7@gmail.com
672.849.301-87XS;3351,08;Pago;07/08/2025;65024Z;testeapp159123+8@gmail.com
854.179.360-57XS;4026,82;Em aberto;26/04/2025;24139Z;testeapp159123+9@gmail.com
518.072.694-85XS;600,9;Pago;29/07/2025;37353Z;testeapp159123+10@gmail.com
